GeneSet,Gene
hallmark_adipogenesis,19
hallmark_adipogenesis,11194
hallmark_adipogenesis,10449
hallmark_adipogenesis,33
hallmark_adipogenesis,34
hallmark_adipogenesis,35
hallmark_adipogenesis,47
hallmark_adipogenesis,50
hallmark_adipogenesis,51
hallmark_adipogenesis,112
hallmark_adipogenesis,149685
hallmark_adipogenesis,9370
hallmark_adipogenesis,79602
hallmark_adipogenesis,56894
hallmark_adipogenesis,9131
hallmark_adipogenesis,204
hallmark_adipogenesis,217
hallmark_adipogenesis,226
hallmark_adipogenesis,284
hallmark_adipogenesis,51129
hallmark_adipogenesis,334
hallmark_adipogenesis,348
hallmark_adipogenesis,369
hallmark_adipogenesis,10124
hallmark_adipogenesis,64225
hallmark_adipogenesis,483
hallmark_adipogenesis,539
hallmark_adipogenesis,11176
hallmark_adipogenesis,593
hallmark_adipogenesis,23786
hallmark_adipogenesis,604
hallmark_adipogenesis,718
hallmark_adipogenesis,847
hallmark_adipogenesis,284119
hallmark_adipogenesis,8436
hallmark_adipogenesis,901
hallmark_adipogenesis,977
hallmark_adipogenesis,9936
hallmark_adipogenesis,948
hallmark_adipogenesis,1031
hallmark_adipogenesis,400916
hallmark_adipogenesis,1147
hallmark_adipogenesis,1149
hallmark_adipogenesis,134147
hallmark_adipogenesis,51727
hallmark_adipogenesis,1306
hallmark_adipogenesis,1282
hallmark_adipogenesis,51805
hallmark_adipogenesis,84274
hallmark_adipogenesis,57017
hallmark_adipogenesis,1337
hallmark_adipogenesis,1349
hallmark_adipogenesis,1351
hallmark_adipogenesis,1376
hallmark_adipogenesis,1384
hallmark_adipogenesis,1431
hallmark_adipogenesis,1537
hallmark_adipogenesis,1580
hallmark_adipogenesis,1629
hallmark_adipogenesis,1652
hallmark_adipogenesis,1666
hallmark_adipogenesis,8694
hallmark_adipogenesis,1717
hallmark_adipogenesis,51635
hallmark_adipogenesis,25979
hallmark_adipogenesis,1737
hallmark_adipogenesis,1738
hallmark_adipogenesis,4189
hallmark_adipogenesis,29103
hallmark_adipogenesis,128338
hallmark_adipogenesis,1891
hallmark_adipogenesis,1892
hallmark_adipogenesis,84173
hallmark_adipogenesis,79071
hallmark_adipogenesis,5168
hallmark_adipogenesis,2053
hallmark_adipogenesis,2101
hallmark_adipogenesis,23344
hallmark_adipogenesis,2109
