GeneSet,Gene
urbanska_universal_cell_mechanics,857
urbanska_universal_cell_mechanics,2274
urbanska_universal_cell_mechanics,3490
urbanska_universal_cell_mechanics,6876
urbanska_universal_cell_mechanics,7057
cordenonsi_yap_conserved_signature,3268
cordenonsi_yap_conserved_signature,51421
cordenonsi_yap_conserved_signature,27063
cordenonsi_yap_conserved_signature,50807
cordenonsi_yap_conserved_signature,558
cordenonsi_yap_conserved_signature,80114
cordenonsi_yap_conserved_signature,332
cordenonsi_yap_conserved_signature,8436
cordenonsi_yap_conserved_signature,3491
cordenonsi_yap_conserved_signature,1490
cordenonsi_yap_conserved_signature,991
cordenonsi_yap_conserved_signature,1031
cordenonsi_yap_conserved_signature,1063
cordenonsi_yap_conserved_signature,1285
cordenonsi_yap_conserved_signature,51232
cordenonsi_yap_conserved_signature,1601
cordenonsi_yap_conserved_signature,23576
cordenonsi_yap_conserved_signature,10395
cordenonsi_yap_conserved_signature,1843
cordenonsi_yap_conserved_signature,1854
cordenonsi_yap_conserved_signature,1894
cordenonsi_yap_conserved_signature,2013
cordenonsi_yap_conserved_signature,2119
cordenonsi_yap_conserved_signature,2247
cordenonsi_yap_conserved_signature,2316
cordenonsi_yap_conserved_signature,6624
cordenonsi_yap_conserved_signature,11167
cordenonsi_yap_conserved_signature,4616
cordenonsi_yap_conserved_signature,2621
cordenonsi_yap_conserved_signature,8836
cordenonsi_yap_conserved_signature,2744
cordenonsi_yap_conserved_signature,3074
cordenonsi_yap_conserved_signature,3161
cordenonsi_yap_conserved_signature,3689
cordenonsi_yap_conserved_signature,3693
cordenonsi_yap_conserved_signature,10186
cordenonsi_yap_conserved_signature,4082
cordenonsi_yap_conserved_signature,29969
cordenonsi_yap_conserved_signature,10397
cordenonsi_yap_conserved_signature,64236
cordenonsi_yap_conserved_signature,26227
cordenonsi_yap_conserved_signature,5376
cordenonsi_yap_conserved_signature,29970
cordenonsi_yap_conserved_signature,5054
cordenonsi_yap_conserved_signature,6446
cordenonsi_yap_conserved_signature,63898
cordenonsi_yap_conserved_signature,79801
cordenonsi_yap_conserved_signature,9353
cordenonsi_yap_conserved_signature,3925
cordenonsi_yap_conserved_signature,7042
cordenonsi_yap_conserved_signature,7052
cordenonsi_yap_conserved_signature,7057
cordenonsi_yap_conserved_signature,7083
cordenonsi_yap_conserved_signature,7139
cordenonsi_yap_conserved_signature,7145
cordenonsi_yap_conserved_signature,7153
cordenonsi_yap_conserved_signature,10099
yap_target_genes_up,10413
yap_target_genes_up,7003
yap_target_genes_up,154796
yap_target_genes_up,558
yap_target_genes_up,332
yap_target_genes_up,595
yap_target_genes_up,861
yap_target_genes_up,860
yap_target_genes_up,1495
yap_target_genes_up,1499
cytoskeleton_organization,387
cytoskeleton_organization,3984
cytoskeleton_organization,60
cytoskeleton_organization,5879
cytoskeleton_organization,5058
cytoskeleton_organization,1729
cytoskeleton_organization,4627
cytoskeleton_organization,6093
cytoskeleton_organization,9475
cytoskeleton_organization,4638
cytoskeleton_organization,7168
cytoskeleton_organization,857
cytoskeleton_organization,7791
focal_adhesion,7414
focal_adhesion,3688
focal_adhesion,3689
focal_adhesion,2335
focal_adhesion,7791
planar_cell_polarity,23002
planar_cell_polarity,9620
planar_cell_polarity,1952
planar_cell_polarity,10427
planar_cell_polarity,81839
planar_cell_polarity,57216
planar_cell_polarity,1855
linc_complex,23345
linc_complex,23224
linc_complex,161176
linc_complex,163183
linc_complex,23353
linc_complex,25777
linc_complex,4000
linc_complex,4001
linc_complex,84823
linc_complex,7431
linc_complex,5339
linc_complex,3799
wp_mechanoregulation_and_pathology_of_yaptaz_via_hippo_and_nonhippo_mechanisms,58
wp_mechanoregulation_and_pathology_of_yaptaz_via_hippo_and_nonhippo_mechanisms,59
wp_mechanoregulation_and_pathology_of_yaptaz_via_hippo_and_nonhippo_mechanisms,60
wp_mechanoregulation_and_pathology_of_yaptaz_via_hippo_and_nonhippo_mechanisms,70
wp_mechanoregulation_and_pathology_of_yaptaz_via_hippo_and_nonhippo_mechanisms,71
wp_mechanoregulation_and_pathology_of_yaptaz_via_hippo_and_nonhippo_mechanisms,72
wp_mechanoregulation_and_pathology_of_yaptaz_via_hippo_and_nonhippo_mechanisms,106821730
wp_mechanoregulation_and_pathology_of_yaptaz_via_hippo_and_nonhippo_mechanisms,999
wp_mechanoregulation_and_pathology_of_yaptaz_via_hippo_and_nonhippo_mechanisms,1495
wp_mechanoregulation_and_pathology_of_yaptaz_via_hippo_and_nonhippo_mechanisms,1499
wp_mechanoregulation_and_pathology_of_yaptaz_via_hippo_and_nonhippo_mechanisms,3688
wp_mechanoregulation_and_pathology_of_yaptaz_via_hippo_and_nonhippo_mechanisms,3689
