GeneSet,Gene
kegg_glycolysis_gluconeogenesis,55902
kegg_glycolysis_gluconeogenesis,2645
kegg_glycolysis_gluconeogenesis,5232
kegg_glycolysis_gluconeogenesis,5230
kegg_glycolysis_gluconeogenesis,5162
kegg_glycolysis_gluconeogenesis,5160
kegg_glycolysis_gluconeogenesis,5161
kegg_glycolysis_gluconeogenesis,55276
kegg_glycolysis_gluconeogenesis,7167
kegg_glycolysis_gluconeogenesis,84532
kegg_glycolysis_gluconeogenesis,2203
kegg_glycolysis_gluconeogenesis,125
kegg_glycolysis_gluconeogenesis,3099
kegg_glycolysis_gluconeogenesis,126
kegg_glycolysis_gluconeogenesis,3098
kegg_glycolysis_gluconeogenesis,3101
kegg_glycolysis_gluconeogenesis,127
kegg_glycolysis_gluconeogenesis,5224
kegg_glycolysis_gluconeogenesis,128
kegg_glycolysis_gluconeogenesis,5223
kegg_glycolysis_gluconeogenesis,124
kegg_glycolysis_gluconeogenesis,230
kegg_glycolysis_gluconeogenesis,501
kegg_glycolysis_gluconeogenesis,92483
kegg_glycolysis_gluconeogenesis,5313
kegg_glycolysis_gluconeogenesis,160287
kegg_glycolysis_gluconeogenesis,2023
kegg_glycolysis_gluconeogenesis,5315
kegg_glycolysis_gluconeogenesis,5214
kegg_glycolysis_gluconeogenesis,669
kegg_glycolysis_gluconeogenesis,5106
kegg_glycolysis_gluconeogenesis,5105
kegg_glycolysis_gluconeogenesis,219
kegg_glycolysis_gluconeogenesis,217
kegg_glycolysis_gluconeogenesis,218
kegg_glycolysis_gluconeogenesis,10327
kegg_glycolysis_gluconeogenesis,8789
kegg_glycolysis_gluconeogenesis,5213
kegg_glycolysis_gluconeogenesis,5211
kegg_glycolysis_gluconeogenesis,3948
kegg_glycolysis_gluconeogenesis,2597
kegg_glycolysis_gluconeogenesis,2027
kegg_glycolysis_gluconeogenesis,2026
kegg_glycolysis_gluconeogenesis,441531
kegg_glycolysis_gluconeogenesis,131
kegg_glycolysis_gluconeogenesis,130
kegg_glycolysis_gluconeogenesis,3945
kegg_glycolysis_gluconeogenesis,220
kegg_glycolysis_gluconeogenesis,221
kegg_glycolysis_gluconeogenesis,222
kegg_glycolysis_gluconeogenesis,223
kegg_glycolysis_gluconeogenesis,224
kegg_glycolysis_gluconeogenesis,130589
kegg_glycolysis_gluconeogenesis,226
kegg_glycolysis_gluconeogenesis,1738
kegg_glycolysis_gluconeogenesis,1737
kegg_glycolysis_gluconeogenesis,229
kegg_glycolysis_gluconeogenesis,57818
kegg_glycolysis_gluconeogenesis,3939
kegg_glycolysis_gluconeogenesis,2538
kegg_glycolysis_gluconeogenesis,5236
kegg_glycolysis_gluconeogenesis,2821
kegg_citrate_cycle_tca_cycle,3420
kegg_citrate_cycle_tca_cycle,1743
kegg_citrate_cycle_tca_cycle,5106
kegg_citrate_cycle_tca_cycle,1431
kegg_citrate_cycle_tca_cycle,5162
kegg_citrate_cycle_tca_cycle,5105
kegg_citrate_cycle_tca_cycle,5160
kegg_citrate_cycle_tca_cycle,642502
kegg_citrate_cycle_tca_cycle,5161
kegg_citrate_cycle_tca_cycle,283398
kegg_citrate_cycle_tca_cycle,2271
kegg_citrate_cycle_tca_cycle,6392
kegg_citrate_cycle_tca_cycle,4967
kegg_citrate_cycle_tca_cycle,6390
kegg_citrate_cycle_tca_cycle,3419
kegg_citrate_cycle_tca_cycle,6391
kegg_citrate_cycle_tca_cycle,3418
kegg_citrate_cycle_tca_cycle,3417
kegg_citrate_cycle_tca_cycle,48
kegg_citrate_cycle_tca_cycle,47
kegg_citrate_cycle_tca_cycle,4191
kegg_citrate_cycle_tca_cycle,1738
kegg_citrate_cycle_tca_cycle,4190
kegg_citrate_cycle_tca_cycle,1737
kegg_citrate_cycle_tca_cycle,55753
kegg_citrate_cycle_tca_cycle,5091
kegg_citrate_cycle_tca_cycle,6389
kegg_citrate_cycle_tca_cycle,8802
kegg_citrate_cycle_tca_cycle,8803
kegg_citrate_cycle_tca_cycle,8801
kegg_citrate_cycle_tca_cycle,3421
kegg_citrate_cycle_tca_cycle,50
kegg_pentose_phosphate_pathway,6120
kegg_pentose_phosphate_pathway,22934
kegg_pentose_phosphate_pathway,55276
kegg_pentose_phosphate_pathway,25796
kegg_pentose_phosphate_pathway,5634
kegg_pentose_phosphate_pathway,8789
kegg_pentose_phosphate_pathway,5213
kegg_pentose_phosphate_pathway,5211
kegg_pentose_phosphate_pathway,6888
kegg_pentose_phosphate_pathway,7086
kegg_pentose_phosphate_pathway,2203
kegg_pentose_phosphate_pathway,84076
kegg_pentose_phosphate_pathway,5226
kegg_pentose_phosphate_pathway,64080
kegg_pentose_phosphate_pathway,226
kegg_pentose_phosphate_pathway,230
kegg_pentose_phosphate_pathway,229
kegg_pentose_phosphate_pathway,9563
kegg_pentose_phosphate_pathway,729020
kegg_pentose_phosphate_pathway,221823
kegg_pentose_phosphate_pathway,5631
kegg_pentose_phosphate_pathway,51071
kegg_pentose_phosphate_pathway,2539
kegg_pentose_phosphate_pathway,5236
kegg_pentose_phosphate_pathway,8277
kegg_pentose_phosphate_pathway,5214
kegg_pentose_phosphate_pathway,2821
kegg_pentose_and_glucuronate_interconversions,54575
