GeneSet,Gene
fridman_senescence_up,220
fridman_senescence_up,84909
fridman_senescence_up,1490
fridman_senescence_up,595
fridman_senescence_up,960
fridman_senescence_up,1026
fridman_senescence_up,1028
fridman_senescence_up,1029
fridman_senescence_up,1030
fridman_senescence_up,1032
fridman_senescence_up,10370
fridman_senescence_up,1212
fridman_senescence_up,1278
fridman_senescence_up,8804
fridman_senescence_up,1410
fridman_senescence_up,9547
fridman_senescence_up,1545
fridman_senescence_up,8894
fridman_senescence_up,11082
fridman_senescence_up,2152
fridman_senescence_up,11259
fridman_senescence_up,2335
fridman_senescence_up,2934
fridman_senescence_up,2987
fridman_senescence_up,10767
fridman_senescence_up,11234
fridman_senescence_up,3306
fridman_senescence_up,10553
fridman_senescence_up,3428
fridman_senescence_up,3458
fridman_senescence_up,3484
fridman_senescence_up,3485
fridman_senescence_up,3486
fridman_senescence_up,3487
fridman_senescence_up,3488
fridman_senescence_up,3489
fridman_senescence_up,3490
fridman_senescence_up,3321
fridman_senescence_up,3621
fridman_senescence_up,3663
fridman_senescence_up,3665
fridman_senescence_up,9636
fridman_senescence_up,81631
fridman_senescence_up,5606
fridman_senescence_up,4193
fridman_senescence_up,4312
fridman_senescence_up,4692
fridman_senescence_up,4831
fridman_senescence_up,3084
fridman_senescence_up,10133
fridman_senescence_up,8682
fridman_senescence_up,5872
fridman_senescence_up,11031
fridman_senescence_up,5869
fridman_senescence_up,5875
fridman_senescence_up,5879
fridman_senescence_up,5934
fridman_senescence_up,5863
fridman_senescence_up,388
fridman_senescence_up,6237
fridman_senescence_up,6282
fridman_senescence_up,5055
fridman_senescence_up,5054
fridman_senescence_up,6609
fridman_senescence_up,64750
fridman_senescence_up,6647
fridman_senescence_up,6678
fridman_senescence_up,6772
fridman_senescence_up,26136
fridman_senescence_up,7020
fridman_senescence_up,7041
fridman_senescence_up,7057
fridman_senescence_up,7127
fridman_senescence_up,7128
fridman_senescence_up,7157
fridman_senescence_up,85453
fridman_senescence_up,7431
gobp_cellular_senescence,51225
gobp_cellular_senescence,25
gobp_cellular_senescence,10000
gobp_cellular_senescence,384
gobp_cellular_senescence,472
gobp_cellular_senescence,567
gobp_cellular_senescence,604
gobp_cellular_senescence,406
gobp_cellular_senescence,657
gobp_cellular_senescence,675
gobp_cellular_senescence,811
gobp_cellular_senescence,1017
gobp_cellular_senescence,1021
gobp_cellular_senescence,1026
gobp_cellular_senescence,1027
gobp_cellular_senescence,1029
gobp_cellular_senescence,1030
gobp_cellular_senescence,115004
gobp_cellular_senescence,10370
gobp_cellular_senescence,1311
gobp_cellular_senescence,9093
gobp_cellular_senescence,84417
gobp_cellular_senescence,9521
gobp_cellular_senescence,26272
gobp_cellular_senescence,26271
gobp_cellular_senescence,51343
gobp_cellular_senescence,2643
gobp_cellular_senescence,3014
gobp_cellular_senescence,3135
gobp_cellular_senescence,3159
gobp_cellular_senescence,8091
gobp_cellular_senescence,3265
gobp_cellular_senescence,3398
gobp_cellular_senescence,3480
gobp_cellular_senescence,3622
gobp_cellular_senescence,10524
gobp_cellular_senescence,7994
gobp_cellular_senescence,3805
gobp_cellular_senescence,4000
gobp_cellular_senescence,4101
gobp_cellular_senescence,266740
gobp_cellular_senescence,5604
gobp_cellular_senescence,5606
gobp_cellular_senescence,6416
gobp_cellular_senescence,5608
gobp_cellular_senescence,5609
gobp_cellular_senescence,4215
gobp_cellular_senescence,4217
gobp_cellular_senescence,5602
gobp_cellular_senescence,5600
gobp_cellular_senescence,1432
gobp_cellular_senescence,5599
gobp_cellular_senescence,5601
gobp_cellular_senescence,8550
gobp_cellular_senescence,4282
gobp_cellular_senescence,406902
gobp_cellular_senescence,406938
gobp_cellular_senescence,406952
gobp_cellular_senescence,406964
gobp_cellular_senescence,574032
gobp_cellular_senescence,406999
gobp_cellular_senescence,407004
gobp_cellular_senescence,407040
gobp_cellular_senescence,100126335
gobp_cellular_senescence,693175
gobp_cellular_senescence,4335
gobp_cellular_senescence,23515
gobp_cellular_senescence,6787
gobp_cellular_senescence,10783
gobp_cellular_senescence,4869
gobp_cellular_senescence,286053
gobp_cellular_senescence,9891
gobp_cellular_senescence,23636
gobp_cellular_senescence,4976
gobp_cellular_senescence,5074
gobp_cellular_senescence,22925
gobp_cellular_senescence,10769
gobp_cellular_senescence,5371
gobp_cellular_senescence,87178
gobp_cellular_senescence,5549
gobp_cellular_senescence,5580
gobp_cellular_senescence,55170
gobp_cellular_senescence,5728
gobp_cellular_senescence,5933
gobp_cellular_senescence,26156
gobp_cellular_senescence,23411
gobp_cellular_senescence,51548
gobp_cellular_senescence,23137
gobp_cellular_senescence,79677
gobp_cellular_senescence,6688
gobp_cellular_senescence,6722
gobp_cellular_senescence,6909
gobp_cellular_senescence,6926
gobp_cellular_senescence,7012
gobp_cellular_senescence,7014
gobp_cellular_senescence,7015
gobp_cellular_senescence,7155
gobp_cellular_senescence,7157
gobp_cellular_senescence,8626
gobp_cellular_senescence,7291
gobp_cellular_senescence,25989
gobp_cellular_senescence,22846
gobp_cellular_senescence,7471
gobp_cellular_senescence,51384
gobp_cellular_senescence,7486
gobp_cellular_senescence,4904
gobp_cellular_senescence,83719
gobp_cellular_senescence,80317
gobp_cellular_senescence,57178
gobp_cellular_senescence,10269
gobp_cellular_senescence,11179
gobp_replicative_senescence,472
gobp_replicative_senescence,545
gobp_replicative_senescence,1026
gobp_replicative_senescence,1029
gobp_replicative_senescence,1111
gobp_replicative_senescence,11200
gobp_replicative_senescence,80169
gobp_replicative_senescence,2067
gobp_replicative_senescence,406991
gobp_replicative_senescence,4311
gobp_replicative_senescence,22925
gobp_replicative_senescence,140823
gobp_replicative_senescence,5054
gobp_replicative_senescence,7015
gobp_replicative_senescence,7157
gobp_replicative_senescence,51384
gobp_replicative_senescence,7486
kamminga_senescence,79575
kamminga_senescence,79822
kamminga_senescence,55160
kamminga_senescence,8289
kamminga_senescence,552889
kamminga_senescence,55749
kamminga_senescence,124359
kamminga_senescence,1196
kamminga_senescence,1369
kamminga_senescence,221955
kamminga_senescence,79039
kamminga_senescence,207063
kamminga_senescence,1994
kamminga_senescence,2146
kamminga_senescence,2272
kamminga_senescence,10817
kamminga_senescence,2775
kamminga_senescence,2922
kamminga_senescence,2960
kamminga_senescence,3150
kamminga_senescence,3397
kamminga_senescence,375616
kamminga_senescence,3837
kamminga_senescence,8942
kamminga_senescence,132660
kamminga_senescence,84298
kamminga_senescence,653319
kamminga_senescence,4288
kamminga_senescence,7469
kamminga_senescence,79707
kamminga_senescence,144100
kamminga_senescence,64857
kamminga_senescence,5662
kamminga_senescence,81890
kamminga_senescence,10567
kamminga_senescence,55530
kamminga_senescence,6920
kamminga_senescence,7042
kamminga_senescence,7060
kamminga_senescence,57617
reactome_cellular_senescence,65057
reactome_cellular_senescence,26523
reactome_cellular_senescence,192669
reactome_cellular_senescence,192670
reactome_cellular_senescence,64682
reactome_cellular_senescence,10393
reactome_cellular_senescence,51529
reactome_cellular_senescence,25906
reactome_cellular_senescence,119504
reactome_cellular_senescence,29882
reactome_cellular_senescence,29945
reactome_cellular_senescence,51433
reactome_cellular_senescence,51434
reactome_cellular_senescence,25842
reactome_cellular_senescence,472
reactome_cellular_senescence,648
reactome_cellular_senescence,23523
reactome_cellular_senescence,84733
reactome_cellular_senescence,8535
reactome_cellular_senescence,23466
reactome_cellular_senescence,57332
reactome_cellular_senescence,8900
reactome_cellular_senescence,890
reactome_cellular_senescence,898
reactome_cellular_senescence,9134
reactome_cellular_senescence,8881
reactome_cellular_senescence,8697
reactome_cellular_senescence,246184
reactome_cellular_senescence,996
reactome_cellular_senescence,1017
reactome_cellular_senescence,1019
reactome_cellular_senescence,1021
reactome_cellular_senescence,1026
reactome_cellular_senescence,1027
reactome_cellular_senescence,1029
reactome_cellular_senescence,1030
reactome_cellular_senescence,1031
reactome_cellular_senescence,1032
reactome_cellular_senescence,1051
reactome_cellular_senescence,3576
reactome_cellular_senescence,1869
reactome_cellular_senescence,1870
reactome_cellular_senescence,1871
reactome_cellular_senescence,8726
reactome_cellular_senescence,79813
reactome_cellular_senescence,10919
reactome_cellular_senescence,57634
reactome_cellular_senescence,2077
reactome_cellular_senescence,2113
reactome_cellular_senescence,2114
reactome_cellular_senescence,2146
reactome_cellular_senescence,2353
reactome_cellular_senescence,51343
reactome_cellular_senescence,3005
reactome_cellular_senescence,3024
reactome_cellular_senescence,3006
reactome_cellular_senescence,3007
reactome_cellular_senescence,3008
reactome_cellular_senescence,3009
reactome_cellular_senescence,474382
reactome_cellular_senescence,8331
